log_id,source_node,target_node,edge_type,label
invictus_enriched.csv:1585,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1586,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1587,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1588,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-4,GetParameter,0
invictus_enriched.csv:1589,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-9,GetParameter,0
invictus_enriched.csv:1590,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1591,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1592,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctlr-trail-zqfsvooxqj,GetEventSelectors,0
invictus_enriched.csv:1593,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1594,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1595,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeInstanceCreditSpecifications,0
invictus_enriched.csv:1596,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1597,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1598,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1599,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeVpcs,0
invictus_enriched.csv:1600,arn:aws:iam::123837392027:user/bert-jan,i-05c30218156bcc246,DescribeInstanceAttribute,0
invictus_enriched.csv:1601,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-34,GetParameter,0
invictus_enriched.csv:1602,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1603,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1604,arn:aws:iam::123837392027:user/bert-jan,i-0dbc91f429e48eeed,DescribeInstanceAttribute,0
invictus_enriched.csv:1605,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctes-trail-qyxyekjbtk,GetEventSelectors,0
invictus_enriched.csv:1606,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
