log_id,source_node,target_node,edge_type,label
495,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
496,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
497,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
498,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
499,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
500,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
501,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-10,PutParameter,0
502,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
503,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
504,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
505,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
506,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
507,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
508,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
509,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-8,PutParameter,0
510,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
511,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
512,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
513,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-35,PutParameter,0
514,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-31,PutParameter,0
515,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-14,PutParameter,0
516,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-41,PutParameter,0
517,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
518,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
519,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
520,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
521,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-23,PutParameter,0
522,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
523,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-25,PutParameter,0
524,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
525,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
526,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-19,PutParameter,0
527,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-7,PutParameter,0
528,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
529,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
530,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
531,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-7,GetParameter,0
532,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
533,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
534,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-10,GetParameter,0
535,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
536,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-35,GetParameter,0
537,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-19,GetParameter,0
538,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
539,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
540,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
541,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-41,GetParameter,0
542,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
543,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-14,GetParameter,0
544,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
545,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
546,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
547,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
548,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-31,GetParameter,0
549,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
550,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
551,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-25,GetParameter,0
552,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
553,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-8,GetParameter,0
554,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-23,GetParameter,0
555,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
556,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
557,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
558,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
559,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
560,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
561,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
562,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
563,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
564,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
565,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
566,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
567,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
568,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
569,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
570,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
571,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
572,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
573,arn:aws:sts::123837392027:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0dbc91f429e48eeed,i-0dbc91f429e48eeed,UpdateInstanceAssociationStatus,0
574,arn:aws:sts::123837392027:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0dbc91f429e48eeed,i-0dbc91f429e48eeed,PutInventory,0
575,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
576,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
577,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
