log_id,username,timestamp,no_mfa,mfa_absent,principal_type_prior_risk,principal_type_idx,has_access_key,action_velocity,is_new_action,session_duration_normalized,events_per_minute_normalized,time_sin,time_cos,is_weekend,is_off_hours,action_risk_prior,event_name_idx,event_source_idx,is_write_action,read_only_absent,has_error,is_access_denied,is_iam_event,is_recon_action,is_defense_evasion,is_get_caller_identity,is_malicious_user_agent,is_public_ip,params_length_normalized,targets_sensitive_resource,is_non_default_region,is_create_key,is_secrets_or_kms,is_permission_modification,policy_statement_count_normalized,has_wildcard_action,has_wildcard_resource,privileged_action_reach,label
invictus_enriched.csv:2841,bert-jan,2023-07-10 12:29:17+00:00,0,0,0.8,2,1,0.9991666666666666,0,0.5788888888888889,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,108,7,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2842,bert-jan,2023-07-10 12:29:17+00:00,0,0,0.8,2,1,1.0,1,0.5788888888888889,1.0,1.2246467991473532e-16,-1.0,0,0,0.2,6,4,0,0,0,0,0,1,0,0,0,0,0.052,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2843,bert-jan,2023-07-10 12:29:18+00:00,0,0,0.8,2,1,0.9997222222222222,1,0.5791666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,259,7,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2844,bert-jan,2023-07-10 12:29:18+00:00,0,0,0.8,2,1,1.0,0,0.5791666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,259,7,0,0,0,0,0,0,0,0,0,0,0.06133333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2845,bert-jan,2023-07-10 12:29:18+00:00,0,0,0.8,2,1,1.0,1,0.5791666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,260,0,0,0,0,0,0,1,0,0,0,0,0.064,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2846,bert-jan,2023-07-10 12:29:18+00:00,0,0,0.8,2,1,1.0,0,0.5791666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,108,7,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2847,bert-jan,2023-07-10 12:29:18+00:00,0,0,0.8,2,1,1.0,0,0.5791666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,226,0,0,0,0,0,0,1,0,0,0,0,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2848,bert-jan,2023-07-10 12:29:19+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5794444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,10,0,0,0,0,0,0,1,0,0,0,0,0.19466666666666665,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2849,bert-jan,2023-07-10 12:29:19+00:00,0,0,0.8,2,1,1.0,0,0.5794444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,10,0,0,0,0,0,0,1,0,0,0,1,0.196,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2850,bert-jan,2023-07-10 12:29:19+00:00,0,0,0.8,2,1,1.0,0,0.5794444444444444,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,9,0,0,0,0,0,0,1,0,0,0,0,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2851,bert-jan,2023-07-10 12:29:20+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5797222222222222,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,108,7,0,0,0,0,0,1,0,0,0,0,0.06666666666666667,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2852,bert-jan,2023-07-10 12:29:43+00:00,0,0,0.8,2,1,0.9936111111111111,0,0.5861111111111111,1.0,1.2246467991473532e-16,-1.0,0,0,0.2,6,4,0,0,0,0,0,1,0,0,0,0,0.037333333333333336,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2853,bert-jan,2023-07-10 12:29:44+00:00,0,0,0.8,2,1,0.9997222222222222,1,0.5863888888888888,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,8,4,0,0,0,0,0,1,0,0,0,1,0.128,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2854,bert-jan,2023-07-10 12:29:44+00:00,0,0,0.8,2,1,1.0,1,0.5863888888888888,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,7,4,0,0,0,0,0,1,0,0,0,0,0.07866666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2855,bert-jan,2023-07-10 12:29:45+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5866666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,8,4,0,0,0,0,0,1,0,0,0,1,0.128,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2856,bert-jan,2023-07-10 12:29:45+00:00,0,0,0.8,2,1,1.0,0,0.5866666666666667,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,7,4,0,0,0,0,0,1,0,0,0,1,0.07866666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2857,bert-jan,2023-07-10 12:29:46+00:00,0,0,0.8,2,1,0.9997222222222222,0,0.5869444444444445,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,10,0,0,0,0,0,0,1,0,0,0,1,0.196,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2858,bert-jan,2023-07-10 12:29:46+00:00,0,0,0.8,2,1,1.0,0,0.5869444444444445,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,9,0,0,0,0,0,0,1,0,0,0,0,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2859,bert-jan,2023-07-10 12:29:46+00:00,0,0,0.8,2,1,1.0,0,0.5869444444444445,1.0,1.2246467991473532e-16,-1.0,0,0,0.1,10,0,0,0,0,0,0,1,0,0,0,0,0.19466666666666665,0,0,0,0,0,0.0,0,0,0.0,0
